,Year,Region,Race_or_Ethnicity,Sex,Age_Group,Opioid_Poisoning_Deaths,total
644,2005,ROS,Hispanic,M,35-44,6,27717
665,2005,ROS,Not Stated,M,35-44,2,27717
677,2005,ROS,Other Non Hispanic,F,45-54,1,27717
688,2005,ROS,Other Non Hispanic,M,45-54,1,27717
689,2005,ROS,Other Non Hispanic,M,35-44,2,27717
694,2005,ROS,White Non Hispanic,F,75-84,1,27717
695,2005,ROS,White Non Hispanic,F,85+,1,27717
696,2005,ROS,White Non Hispanic,F,65-74,2,27717
697,2005,ROS,White Non Hispanic,F,20-24,5,27717
698,2005,ROS,White Non Hispanic,F,55-64,6,27717
699,2005,ROS,White Non Hispanic,F,25-34,9,27717
700,2005,ROS,White Non Hispanic,F,35-44,29,27717
701,2005,ROS,White Non Hispanic,F,45-54,30,27717
704,2005,ROS,White Non Hispanic,M,9-Jan,1,27717
705,2005,ROS,White Non Hispanic,M,75-84,1,27717
706,2005,ROS,White Non Hispanic,M,85+,1,27717
707,2005,ROS,White Non Hispanic,M,65-74,3,27717
708,2005,ROS,White Non Hispanic,M,19-Oct,13,27717
709,2005,ROS,White Non Hispanic,M,55-64,16,27717
710,2005,ROS,White Non Hispanic,M,20-24,33,27717
711,2005,ROS,White Non Hispanic,M,45-54,65,27717
712,2005,ROS,White Non Hispanic,M,25-34,66,27717
713,2005,ROS,White Non Hispanic,M,35-44,71,27717
721,2006,NYC,Black Non Hispanic,F,19-Oct,1,27717
722,2006,NYC,Black Non Hispanic,F,25-34,2,27717
723,2006,NYC,Black Non Hispanic,F,55-64,3,27717
724,2006,NYC,Black Non Hispanic,F,35-44,16,27717
725,2006,NYC,Black Non Hispanic,F,45-54,17,27717
732,2006,NYC,Black Non Hispanic,M,19-Oct,1,27717
733,2006,NYC,Black Non Hispanic,M,25-34,6,27717
734,2006,NYC,Black Non Hispanic,M,65-74,6,27717
735,2006,NYC,Black Non Hispanic,M,55-64,10,27717
736,2006,NYC,Black Non Hispanic,M,35-44,23,27717
737,2006,NYC,Black Non Hispanic,M,45-54,39,27717
744,2006,NYC,Hispanic,F,9-Jan,1,27717
745,2006,NYC,Hispanic,F,85+,1,27717
746,2006,NYC,Hispanic,F,55-64,2,27717
747,2006,NYC,Hispanic,F,25-34,9,27717
748,2006,NYC,Hispanic,F,45-54,9,27717
749,2006,NYC,Hispanic,F,35-44,14,27717
756,2006,NYC,Hispanic,M,19-Oct,1,27717
757,2006,NYC,Hispanic,M,65-74,1,27717
758,2006,NYC,Hispanic,M,55-64,10,27717
759,2006,NYC,Hispanic,M,25-34,22,27717
760,2006,NYC,Hispanic,M,45-54,34,27717
761,2006,NYC,Hispanic,M,35-44,45,27717
771,2006,NYC,Not Stated,F,35-44,1,27717
772,2006,NYC,Not Stated,F,55-64,1,27717
783,2006,NYC,Not Stated,M,35-44,1,27717
784,2006,NYC,Not Stated,M,45-54,1,27717
806,2006,NYC,Other Non Hispanic,M,25-34,1,27717
807,2006,NYC,Other Non Hispanic,M,45-54,1,27717
808,2006,NYC,Other Non Hispanic,M,35-44,3,27717
814,2006,NYC,White Non Hispanic,F,19-Oct,1,27717
815,2006,NYC,White Non Hispanic,F,65-74,2,27717
816,2006,NYC,White Non Hispanic,F,20-24,3,27717
